crs_id,project_title,short_description,long_description,purpose_name,Crisis finance determination,Crisis finance confidence ML
2017020015,Humanitarian Assistance in Syria,HUMANITARIAN ASSISTANCE IN SYRIA,"Health, Logistics Support and Relief Commodities, Protection, Water, Sanitation, and Hygiene, and Economic Recovery and Market Systems in Syria.",Material relief assistance and services,Yes,0.995869696140289
201047700481,"Access to Quality Education Program, Fiji","ACCESS TO QUALITY EDUCATION PROGRAM, FIJI","The Access to Quality Education Program, Fiji is a 7 year program aimed at reducing the barriers for children to accessing education in Fiji.  The program has been prepared to help maintain gains made in education through reducing the negative impacts of the financial crisis on the poorest families and settlements in Fiji.  The program will be made up of three components: Increase access to schools through a range of mechanisms, Improve school facilities & learning environments, and Support to the Ministry of Education (MoE) to improve education quality and analysis. AQEP is also implementing major rebuilding of school infrastructure in up to 40 schools following the devastating impacts of TC Winston in February 2016. The program will work with schools, communities and the MoE to improve access and quality of education in Fiji. The total value of this initiative is $64 million over 7 years, starting 2010-11.",Education facilities and training,Yes,0.995088398456573
2017003937011,Humanitarian aid and food assistance,HUMANITARIAN AID AND FOOD ASSISTANCE,Building effective DRR systems for resilient communities in South America through the implementation of the Sendai Framework for Disaster Risk Reduction 2015-2030,Multi-hazard response preparedness,Yes,0.995041787624359
2017022510,Mercy Corps Somalia Emergency Food and Shelter Program (EFSP) - 2015 Award (Yobe State),MERCY CORPS SOMALIA EMERGENCY FOOD AND SHELTER PROGRAM (EFSP) - 2015 AWARD (YOBE STATE),Mercy Corps Somalia Emergency Food and Shelter Program (EFSP) - 2015 Award (Yobe State),Emergency food assistance,Yes,0.995011210441589
2015004905,SYR ACF Livelihoods Support to Vulnerable and Conflict-Affected Population in Syria,SYR ACF LIVELIHOODS SUPPORT TO VULNERABLE AND CONFLICT-AFFECTED POPULATION IN SYRIA,"The protracted conflict in Syria has led to massive humanitarian needs. The crisis is expected to deepen further as state structures continue to erode and collapse. Humanitarian needs are therefore complex: The response requires both, urgent life-saving assistance and programmatic efforts to strengthen the resilience of communities so they can maintain services and infrastructures through Systems of selfhelp. The proposed intervention in the area of food-security thus combines both types of response: lt strives to address the immediate needs of vulnerable individual beneficiaries, therefore reducing the overall vulnerability of the war-affected population. And it strengthens the resilience of communities to withstand the ill-effects of the conflict through support to community-based agricultural activities. The projects main geographic reach is to the Damascus, Rural Damascus, and Aleppo governorates. Special resilience building efferts will moreover focus on the outlying Hassakeh and Dara'a governorates.",Agricultural water resources,Yes,0.994991958141327
2015004905,SYR ACF Livelihoods Support to Vulnerable and Conflict-Affected Population in Syria,SYR ACF LIVELIHOODS SUPPORT TO VULNERABLE AND CONFLICT-AFFECTED POPULATION IN SYRIA,"The protracted conflict in Syria has led to massive humanitarian needs. The crisis is expected to deepen further as state structures continue to erode and collapse. Humanitarian needs are therefore complex: The response requires both, urgent life-saving assistance and programmatic efforts to strengthen the resilience of communities so they can maintain services and infrastructures through Systems of selfhelp. The proposed intervention in the area of food-security thus combines both types of response: lt strives to address the immediate needs of vulnerable individual beneficiaries, therefore reducing the overall vulnerability of the war-affected population. And it strengthens the resilience of communities to withstand the ill-effects of the conflict through support to community-based agricultural activities. The projects main geographic reach is to the Damascus, Rural Damascus, and Aleppo governorates. Special resilience building efferts will moreover focus on the outlying Hassakeh and Dara'a governorates.",Material relief assistance and services,Yes,0.994991958141327
2017000353,Humanitarian Assistance,HUMANITARIAN ASSISTANCE,"Humanitarian Assistance for the Turkey Disaster through the Department of Defense's Overseas Humanitarian, Disaster and Civic Aid (OHDACA)",Material relief assistance and services,Yes,0.994923889636993
2017000352,Humanitarian Assistance,HUMANITARIAN ASSISTANCE,"Humanitarian Assistance through the Department of Defense's Overseas Humanitarian, Disaster and Civic Aid (OHDCA).",Material relief assistance and services,Yes,0.994673728942871
2016001250-1,Humanitarian Aid for The Philippines (Phase 3).,HUMANITARIAN AID FOR THE PHILIPPINES (PHASE 3).,"En el escenario de cambio climático global el proyecto de ayuda Humanitaria quiere colaborar en el desarrollo urgente de los planes de mitigación de impactos y reducción de riesgos ante desastres naturales, y en la preparación y equipamiento de los centros de evacuación y atención de emergencias en una zona de Filipinas que ha quedado recientemente expuesta a estos daños. El proyecto es la oportunidad para incorporar la perspectiva de género en los planes de contingencia, y de preparar los centros para la atención específica de los grupos más vulnerables en caso de desastres (Mujeres gestantes o con hijos dependientes, mujeres jóvenes, personas ancianas y con discapacidad) La propuesta es continuidad de dos fases anteriores que se centraron en la provisión de servicios básicos y reconstrucción de emergencia después del tifón Hayan",Multi-hazard response preparedness,Yes,0.99463814496994
2016001249-1,"Promoting resilience of Palestinian communities affected by Israeli occupation, reducing their vulnerability and protecting their rights.","PROMOTING RESILIENCE OF PALESTINIAN COMMUNITIES AFFECTED BY ISRAELI OCCUPATION, REDUCING THEIR VULNERABILITY AND PROTECTING THEIR RIGHTS.","El proyecto busca dar respuesta a la prolongada crisis humanitaria y al alto grado de vulnerabilidad en el que se encuentra la población palestina, en particular la comunidad de Al Khader, Belén, Cisjordania. Se busca promocionar la resilencia por medio de la recuperación, restaruación y protección de los medios de vida, con la rehabilitación 130 dunums y 4 km de carreteras agrícolas, construcción de 3 cisternas, y el fortalecimiento del conocimiento y capacidades de 20 agricultoras/es. Así mismo, se pretende mejorar la capacidadde la poblaciónen protección y reducción de desastres, tanto naturales como humanos, por medio de un Grupo de Protección Comunitaria (GPC) y el desarrollo participativo de un Plan de prevención y mitigación de desastres. La intervención está alineada con la Estrategia Nacional de AGricultura de la ANP y con las necesidades humanitarias designadas por OCHA.",Immediate post-emergency reconstruction and rehabilitation,Yes,0.994575500488281
