crs_id,project_title,short_description,long_description,purpose_name,PAF determination,PAF confidence ML
2011017199.0,Disaster Risk Management Development Loan with a CAT DDO,DISASTER RISK MANAGEMENT DEVELOPMENT LOAN WITH A CAT DDO,"",Basic drinking water supply and basic sanitation,Yes,0.999858736991882
2011017198.0,Disaster Risk Management Development Loan with a CAT DDO,DISASTER RISK MANAGEMENT DEVELOPMENT LOAN WITH A CAT DDO,"",Water supply and sanitation - large systems,Yes,0.999858736991882
20182002700001,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIM,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Agricultural development,Yes,0.999857544898987
20182002700001,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIM,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Agricultural inputs,Yes,0.999857544898987
20182002700001,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIM,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Food crop production,Yes,0.999857544898987
20182002700001,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIM,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Rural development,Yes,0.999857544898987
20182002700001,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIM,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Multi-hazard response preparedness,Yes,0.999857544898987
2018007056,Multi-Stakeholder Partnerships for Promotion of Renewable Energy in India and for Climate Risk Insurance in Africa,MULTI-STAKEHOLDER PARTNERSHIPS FOR PROMOTION OF RENEWABLE ENERGY IN INDIA AND FOR CLIMATE RISK INSURANCE IN AFRICA,Multi-Stakeholder Partnerships for Promotion of Renewable Energy in India and for Climate Risk Insurance in Africa,Energy policy and administrative management,Yes,0.999847054481506
2018002791,Science for Humanitarian Emergencies and Resilience Programme.  Income (DFID),SCIENCE FOR HUMANITARIAN EMERGENCIES AND RESILIENCE PROGRAMME.  INCOME (DFID),"The programme has four focuses: disaster risk, sub-seasonal to seasonal forecasting, disaster risk monitoring, and the integration of these into practical decision making. The programme is targeting countries across sub-Saharan Africa and south Asia.",Environmental research,Yes,0.999829411506653
2008012814.0,Costa Rica Catastrophe Deferred Draw Down Option (CAT DDO),COSTA RICA CATASTROPHE DEFERRED DRAW DOWN OPTION (CAT DDO),"",Multi-hazard response preparedness,Yes,0.999827325344086
