crs_id,project_title,short_description,long_description,purpose_name,PAF determination,PAF confidence ML
20190090761,Improving Agricultural Productivity and Resilience with Satellite and Cellphone Imagery to Scale Climate-Smart Crop Insurance (Cultiaf-2),IMPROVING AGRICULTURAL PRODUCTIVITY AND RESILIENCE WITH SATELLITE AND CELLPHONE IMAGERY TO SCALE CLIMATE-SMART CROP INSURANCE (CULTIAF-2),"The livelihoods of millions of smallholder farmers across the developing world are under threat from extreme weather events such as droughts, floods, and heatwaves. Risks are projected to increase significantly in future years due to climate change and the anticipation of possible losses discourages farmers from making productivity-enhancing investments, thereby trapping them in low-risk, low-return agriculture. Agricultural insurance, complemented with other risk-reducing practices, can be a sustainable approach to unlock investments in agriculture for smallholders that improve their resilience and productivity. Crop insurance protects farmers against financial risks posed by extreme weather events and has been widely advocated as a tool to help farmer households escape poverty traps and invest in climate-smart high-productivity agriculture. The number of successful insurance schemes targeting smallholders is limited due to high monitoring and verification costs of traditional insurance, low demand for index-based insurance (designed to eliminate the need to verify losses) mainly due to poor trust and basis risks (i.e. the imperfect correlation between farmers' actual losses and insurance payouts), and the fact that insurance products often neglect complementary risk-management options such as irrigation and drought-tolerant cultivars. This project aims to overcome these problems through climate-smart picture-based insurance, which uses satellite and cellphone imagery to verify losses, observe management practices, and promote the adoption of productivity-enhancing and resilient technologies through advisories and bundling. Ground pictures taken by farmers will help reduce monitoring costs, minimize basis risks, and create synergies with climate-smart resilience technologies. By taking pictures of insured crops, farmers engage directly in the insurance process and improve trust and tangibility. The project will compare the picture and satellite-based insurance with the current area and yield-based insurance and it will assess the effectiveness of increasing the productivity, resilience, and food security of women, men, and youth smallholder farmers in Kenya.  This project is funded through the second phase of the Cultivate Africa's Future Fund (CultiAF-2), a joint program of IDRC and the Australian International Food Security Research Centre of the Australian Centre for International Agricultural Research. CultiAF supports research to achieve long-term food security in eastern and southern Africa.",Agricultural financial services,Yes,0.999882936477661
20190090762,Improving Agricultural Productivity and Resilience with Satellite and Cellphone Imagery to Scale Climate-Smart Crop Insurance (Cultiaf-2),IMPROVING AGRICULTURAL PRODUCTIVITY AND RESILIENCE WITH SATELLITE AND CELLPHONE IMAGERY TO SCALE CLIMATE-SMART CROP INSURANCE (CULTIAF-2),"The livelihoods of millions of smallholder farmers across the developing world are under threat from extreme weather events such as droughts, floods, and heatwaves. Risks are projected to increase significantly in future years due to climate change and the anticipation of possible losses discourages farmers from making productivity-enhancing investments, thereby trapping them in low-risk, low-return agriculture. Agricultural insurance, complemented with other risk-reducing practices, can be a sustainable approach to unlock investments in agriculture for smallholders that improve their resilience and productivity. Crop insurance protects farmers against financial risks posed by extreme weather events and has been widely advocated as a tool to help farmer households escape poverty traps and invest in climate-smart high-productivity agriculture. The number of successful insurance schemes targeting smallholders is limited due to high monitoring and verification costs of traditional insurance, low demand for index-based insurance (designed to eliminate the need to verify losses) mainly due to poor trust and basis risks (i.e. the imperfect correlation between farmers' actual losses and insurance payouts), and the fact that insurance products often neglect complementary risk-management options such as irrigation and drought-tolerant cultivars. This project aims to overcome these problems through climate-smart picture-based insurance, which uses satellite and cellphone imagery to verify losses, observe management practices, and promote the adoption of productivity-enhancing and resilient technologies through advisories and bundling. Ground pictures taken by farmers will help reduce monitoring costs, minimize basis risks, and create synergies with climate-smart resilience technologies. By taking pictures of insured crops, farmers engage directly in the insurance process and improve trust and tangibility. The project will compare the picture and satellite-based insurance with the current area and yield-based insurance and it will assess the effectiveness of increasing the productivity, resilience, and food security of women, men, and youth smallholder farmers in Kenya.  This project is funded through the second phase of the Cultivate Africa's Future Fund (CultiAF-2), a joint program of IDRC and the Australian International Food Security Research Centre of the Australian Centre for International Agricultural Research. CultiAF supports research to achieve long-term food security in eastern and southern Africa.",Agricultural financial services,Yes,0.999882936477661
2019001243,Risk-Informed Early Action Partnership Secretariat,RISK-INFORMED EARLY ACTION PARTNERSHIP SECRETARIAT,"The over-arching ambition is to raise global awareness, action and investment into climate resilience and adaptation,",Environmental policy and administrative management,Yes,0.999873638153076
2018200270,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIME,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Agricultural development,Yes,0.999857544898987
2018200270,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIME,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Agricultural inputs,Yes,0.999857544898987
2018200270,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIME,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Food crop production,Yes,0.999857544898987
2018200270,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIME,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Rural development,Yes,0.999857544898987
2018200270,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIME,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Multi-hazard response preparedness,Yes,0.999857544898987
2019008212,Multi-Stakeholder Partnerships for Promotion of Renewable Energy in India and for Climate Risk Insurance in Africa,MULTI-STAKEHOLDER PARTNERSHIPS FOR PROMOTION OF RENEWABLE ENERGY IN INDIA AND FOR CLIMATE RISK INSURANCE IN AFRICA,Multi-Stakeholder Partnerships for Promotion of Renewable Energy in India and for Climate Risk Insurance in Africa,Energy policy and administrative management,Yes,0.999847054481506
2008012905,COSTA RICA CATASTROPHE DEFERRED DRAW DOWN OPTION (CAT DDO),COSTA RICA CATASTROPHE DEFERRED DRAW DOWN OPTION (CAT DDO),COSTA RICA CATASTROPHE DEFERRED DRAW DOWN OPTION (CAT DDO),Multi-hazard response preparedness,Yes,0.999808967113495
